[04:11:55 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[04:15:54 PM]  Mua Thịt heo -600 beri
[04:15:54 PM]  Mua Thịt heo -600 beri
[04:15:54 PM]  Mua Thịt heo -600 beri
[04:15:54 PM]  Mua Thịt heo -600 beri
[04:15:55 PM]  Mua Thịt heo -600 beri
[04:15:55 PM]  Mua Thịt heo -600 beri
[04:15:55 PM]  Mua Thịt heo -600 beri
[04:15:55 PM]  Mua Thịt heo -600 beri
[04:15:55 PM]  Mua Thịt heo -600 beri
[04:15:56 PM]  Mua Thịt heo -600 beri
[04:15:56 PM]  Mua Thịt heo -600 beri
[04:15:56 PM]  Mua Thịt heo -600 beri
[04:15:56 PM]  Mua Thịt heo -600 beri
[04:15:56 PM]  Mua Thịt heo -600 beri
[04:15:56 PM]  Mua Thịt heo -600 beri
[04:15:56 PM]  Mua Thịt heo -600 beri
[04:15:59 PM]  Mua Cola -800 beri
[04:15:59 PM]  Mua Cola -800 beri
[04:16:00 PM]  Mua Cola -800 beri
[04:16:00 PM]  Mua Cola -800 beri
[04:16:00 PM]  Mua Cola -800 beri
[04:16:00 PM]  Mua Cola -800 beri
[04:16:00 PM]  Mua Cola -800 beri
[04:16:00 PM]  Mua Cola -800 beri
[04:16:01 PM]  Mua Cola -800 beri
[04:16:01 PM]  Mua Cola -800 beri
[04:16:01 PM]  Mua Cola -800 beri
[04:16:01 PM]  Mua Cola -800 beri
[04:16:01 PM]  Mua Cola -800 beri
[04:16:01 PM]  Mua Cola -800 beri
[04:16:02 PM]  Mua Cola -800 beri
[04:16:02 PM]  Mua Cola -800 beri
[04:16:02 PM]  Mua Cola -800 beri
[04:16:02 PM]  Mua Cola -800 beri
[04:16:02 PM]  Mua Cola -800 beri
[04:16:03 PM]  Mua Cola -800 beri
[04:16:03 PM]  Mua Cola -800 beri
[04:16:03 PM]  Mua Cola -800 beri
[04:16:03 PM]  Mua Cola -800 beri
[04:16:03 PM]  Mua Cola -800 beri
[04:16:03 PM]  Mua Cola -800 beri
[04:16:03 PM]  Mua Cola -800 beri
[04:16:04 PM]  Mua Cola -800 beri
[04:16:04 PM]  Mua Cola -800 beri
[04:16:04 PM]  Mua Cola -800 beri
[04:16:04 PM]  Mua Cola -800 beri
[04:16:04 PM]  Mua Cola -800 beri
[04:16:04 PM]  Mua Cola -800 beri
[04:16:05 PM]  Mua Cola -800 beri
[04:16:05 PM]  Mua Cola -800 beri
[04:16:05 PM]  Mua Cola -800 beri
[04:16:05 PM]  Mua Cola -800 beri
[04:16:05 PM]  Mua Cola -800 beri
[04:16:05 PM]  Mua Cola -800 beri
[04:16:06 PM]  Mua Cola -800 beri
[04:16:06 PM]  Mua Cola -800 beri
[04:16:06 PM]  Mua Cola -800 beri
[04:16:06 PM]  Mua Cola -800 beri
[04:16:06 PM]  Mua Cola -800 beri
[04:16:06 PM]  Mua Cola -800 beri
[04:16:06 PM]  Mua Cola -800 beri
[04:16:07 PM]  Mua Cola -800 beri
[04:16:07 PM]  Mua Cola -800 beri
[04:16:07 PM]  Mua Cola -800 beri
[04:18:15 PM]  Mua 9999 vé vòng quay -149985 ruby
[04:22:45 PM]  Logout : [Beri] 1.999.917.800 [Ruby] 348.015
[04:32:01 PM]  Login : [Beri] 1.999.917.800 [Ruby] 348.015
[04:32:20 PM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Quả Tim x1, 
[04:32:48 PM]  Logout : [Beri] 1.999.917.800 [Ruby] 348.015
[04:33:14 PM]  Login : [Beri] 1.999.917.800 [Ruby] 348.015
[04:33:19 PM]  Logout : [Beri] 1.999.917.800 [Ruby] 348.015
[04:33:25 PM]  Login : [Beri] 1.999.917.800 [Ruby] 348.015
[04:33:27 PM]  Logout : [Beri] 1.999.917.800 [Ruby] 348.015
