[09:59:01 CH]  Login : [Beri] 1.999.500.000 [Ruby] 212.314.610
[10:00:46 CH]  Mua Bột vàng -40 ruby
[10:00:46 CH]  Mua Bột vàng -40 ruby
[10:00:46 CH]  Mua Bột vàng -40 ruby
[10:00:47 CH]  Mua Bột vàng -40 ruby
[10:00:47 CH]  Mua Bột vàng -40 ruby
[10:00:47 CH]  Mua Bột vàng -40 ruby
[10:00:47 CH]  Mua Bột vàng -40 ruby
[10:00:47 CH]  Mua Bột vàng -40 ruby
[10:00:48 CH]  Mua Bột vàng -40 ruby
[10:00:48 CH]  Mua Bột vàng -40 ruby
[10:00:48 CH]  Mua Bột vàng -40 ruby
[10:00:48 CH]  Mua Bột vàng -40 ruby
[10:00:48 CH]  Mua Bột vàng -40 ruby
[10:00:48 CH]  Mua Bột vàng -40 ruby
[10:00:49 CH]  Mua Bột vàng -40 ruby
[10:00:49 CH]  Mua Bột vàng -40 ruby
[10:00:49 CH]  Mua Bột vàng -40 ruby
[10:00:49 CH]  Mua Bột vàng -40 ruby
[10:00:49 CH]  Mua Bột vàng -40 ruby
[10:00:50 CH]  Mua Bột vàng -40 ruby
[10:00:50 CH]  Mua Bột vàng -40 ruby
[10:00:50 CH]  Mua Bột vàng -40 ruby
[10:00:50 CH]  Mua Bột vàng -40 ruby
[10:00:50 CH]  Mua Bột vàng -40 ruby
[10:00:50 CH]  Mua Bột vàng -40 ruby
[10:00:51 CH]  Mua Bột vàng -40 ruby
[10:00:51 CH]  Mua Bột vàng -40 ruby
[10:00:51 CH]  Mua Bột vàng -40 ruby
[10:00:55 CH]  Mua Bột cường hóa -20 ruby
[10:00:55 CH]  Mua Bột cường hóa -20 ruby
[10:00:55 CH]  Mua Bột cường hóa -20 ruby
[10:00:56 CH]  Mua Bột cường hóa -20 ruby
[10:00:56 CH]  Mua Bột cường hóa -20 ruby
[10:00:56 CH]  Mua Bột cường hóa -20 ruby
[10:00:56 CH]  Mua Bột cường hóa -20 ruby
[10:00:57 CH]  Mua Bột cường hóa -20 ruby
[10:00:57 CH]  Mua Bột cường hóa -20 ruby
[10:00:57 CH]  Mua Bột cường hóa -20 ruby
[10:00:57 CH]  Mua Bột cường hóa -20 ruby
[10:00:57 CH]  Mua Bột cường hóa -20 ruby
[10:00:57 CH]  Mua Bột cường hóa -20 ruby
[10:00:58 CH]  Mua Bột cường hóa -20 ruby
[10:00:58 CH]  Mua Bột cường hóa -20 ruby
[10:00:58 CH]  Mua Bột cường hóa -20 ruby
[10:00:58 CH]  Mua Bột cường hóa -20 ruby
[10:00:58 CH]  Mua Bột cường hóa -20 ruby
[10:00:59 CH]  Mua Bột cường hóa -20 ruby
[10:00:59 CH]  Mua Bột cường hóa -20 ruby
[10:00:59 CH]  Mua Bột cường hóa -20 ruby
[10:00:59 CH]  Mua Bột cường hóa -20 ruby
[10:00:59 CH]  Mua Bột cường hóa -20 ruby
[10:00:59 CH]  Mua Bột cường hóa -20 ruby
[10:01:00 CH]  Mua Bột cường hóa -20 ruby
[10:01:00 CH]  Mua Bột cường hóa -20 ruby
[10:01:00 CH]  Mua Bột cường hóa -20 ruby
[10:01:00 CH]  Mua Bột cường hóa -20 ruby
[10:01:00 CH]  Mua Bột cường hóa -20 ruby
[10:01:01 CH]  Mua Bột cường hóa -20 ruby
[10:01:01 CH]  Mua Bột cường hóa -20 ruby
[10:01:01 CH]  Mua Bột cường hóa -20 ruby
[10:01:01 CH]  Mua Bột cường hóa -20 ruby
[10:01:01 CH]  Mua Bột cường hóa -20 ruby
[10:01:01 CH]  Mua Bột cường hóa -20 ruby
[10:01:02 CH]  Mua Bột cường hóa -20 ruby
[10:01:02 CH]  Mua Bột cường hóa -20 ruby
[10:01:02 CH]  Mua Bột cường hóa -20 ruby
[10:01:02 CH]  Mua Bột cường hóa -20 ruby
[10:01:02 CH]  Mua Bột cường hóa -20 ruby
[10:01:03 CH]  Mua Bột cường hóa -20 ruby
[10:01:03 CH]  Mua Bột cường hóa -20 ruby
[10:01:03 CH]  Mua Bột cường hóa -20 ruby
[10:01:03 CH]  Mua Bột cường hóa -20 ruby
[10:01:03 CH]  Mua Bột cường hóa -20 ruby
[10:01:04 CH]  Mua Bột cường hóa -20 ruby
[10:01:04 CH]  Mua Bột cường hóa -20 ruby
[10:01:04 CH]  Mua Bột cường hóa -20 ruby
[10:01:04 CH]  Mua Bột cường hóa -20 ruby
[10:01:04 CH]  Mua Bột cường hóa -20 ruby
[10:01:05 CH]  Mua Bột cường hóa -20 ruby
[10:01:05 CH]  Mua Bột cường hóa -20 ruby
[10:01:05 CH]  Mua Bột cường hóa -20 ruby
[10:01:05 CH]  Mua Bột cường hóa -20 ruby
[10:01:05 CH]  Mua Bột cường hóa -20 ruby
[10:01:06 CH]  Mua Bột cường hóa -20 ruby
[10:01:06 CH]  Mua Bột cường hóa -20 ruby
[10:01:06 CH]  Mua Bột cường hóa -20 ruby
[10:01:06 CH]  Mua Bột cường hóa -20 ruby
[10:01:06 CH]  Mua Bột cường hóa -20 ruby
[10:01:06 CH]  Mua Bột cường hóa -20 ruby
[10:01:07 CH]  Mua Bột cường hóa -20 ruby
[10:01:07 CH]  Mua Bột cường hóa -20 ruby
[10:01:07 CH]  Mua Bột cường hóa -20 ruby
[10:01:07 CH]  Mua Bột cường hóa -20 ruby
[10:01:07 CH]  Mua Bột cường hóa -20 ruby
[10:01:08 CH]  Mua Bột cường hóa -20 ruby
[10:01:18 CH]  Cường hóa item Dây chuyền 9x -3000 beri
[10:01:22 CH]  Cường hóa item Dây chuyền 9x -3000 beri
[10:01:31 CH]  Mua Mai rùa -140 ruby
[10:01:31 CH]  Mua Mai rùa -140 ruby
[10:01:31 CH]  Mua Mai rùa -140 ruby
[10:01:32 CH]  Mua Mai rùa -140 ruby
[10:01:32 CH]  Mua Mai rùa -140 ruby
[10:01:32 CH]  Mua Mai rùa -140 ruby
[10:01:32 CH]  Mua Mai rùa -140 ruby
[10:01:32 CH]  Mua Mai rùa -140 ruby
[10:01:32 CH]  Mua Mai rùa -140 ruby
[10:01:33 CH]  Mua Mai rùa -140 ruby
[10:01:33 CH]  Mua Mai rùa -140 ruby
[10:01:33 CH]  Mua Mai rùa -140 ruby
[10:01:33 CH]  Mua Mai rùa -140 ruby
[10:01:33 CH]  Mua Mai rùa -140 ruby
[10:01:34 CH]  Mua Mai rùa -140 ruby
[10:01:34 CH]  Mua Mai rùa -140 ruby
[10:01:34 CH]  Mua Mai rùa -140 ruby
[10:01:34 CH]  Mua Mai rùa -140 ruby
[10:01:34 CH]  Mua Mai rùa -140 ruby
[10:01:35 CH]  Mua Mai rùa -140 ruby
[10:01:35 CH]  Mua Mai rùa -140 ruby
[10:01:35 CH]  Mua Mai rùa -140 ruby
[10:01:35 CH]  Mua Mai rùa -140 ruby
[10:01:35 CH]  Mua Mai rùa -140 ruby
[10:01:35 CH]  Mua Mai rùa -140 ruby
[10:01:36 CH]  Mua Mai rùa -140 ruby
[10:01:36 CH]  Mua Mai rùa -140 ruby
[10:01:36 CH]  Mua Mai rùa -140 ruby
[10:01:36 CH]  Mua Mai rùa -140 ruby
[10:01:36 CH]  Mua Mai rùa -140 ruby
[10:01:36 CH]  Mua Mai rùa -140 ruby
[10:01:36 CH]  Mua Mai rùa -140 ruby
[10:02:01 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:03 CH]  Cường hóa item Dây chuyền 9x -3000 beri
[10:03:05 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:06 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:08 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:09 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:11 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:12 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:14 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:16 CH]  Cường hóa item Dây chuyền 9x -4000 beri
[10:03:17 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:19 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:20 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:22 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:23 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:25 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:27 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:28 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:30 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:32 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:33 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:35 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:03:36 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:34 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:36 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:37 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:39 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:40 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:41 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:43 CH]  Cường hóa item Dây chuyền 9x -6000 beri
[10:20:45 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:46 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:48 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:49 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:51 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:52 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:54 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:56 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:57 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:20:59 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:22:24 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:22:26 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:22:27 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:22:28 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:22:30 CH]  Cường hóa item Dây chuyền 9x -8000 beri
[10:22:37 CH]  Cường hóa item Dây chuyền 9x -10000 beri
[10:22:38 CH]  Cường hóa item Dây chuyền 9x -10000 beri
[10:22:39 CH]  Cường hóa item Dây chuyền 9x -10000 beri
