[12:00:03 AM]  Mua 99 vé vòng quay -1485 ruby
[12:13:24 AM]  Cường hóa item Nón 1 Lv60 -6000 beri
[12:13:26 AM]  Cường hóa item Nón 1 Lv60 -6000 beri
[12:13:29 AM]  Cường hóa item Nón 1 Lv60 -6000 beri
[12:13:30 AM]  Cường hóa item Nón 1 Lv60 -8000 beri
[12:13:32 AM]  Cường hóa item Nón 1 Lv60 -10000 beri
[12:14:03 AM]  Mua Bột cường hóa -20 ruby
[12:14:03 AM]  Mua Bột cường hóa -20 ruby
[12:14:03 AM]  Mua Bột cường hóa -20 ruby
[12:14:03 AM]  Mua Bột cường hóa -20 ruby
[12:14:04 AM]  Mua Bột cường hóa -20 ruby
[12:14:04 AM]  Mua Bột cường hóa -20 ruby
[12:14:04 AM]  Mua Bột cường hóa -20 ruby
[12:14:04 AM]  Mua Bột cường hóa -20 ruby
[12:14:04 AM]  Mua Bột cường hóa -20 ruby
[12:14:04 AM]  Mua Bột cường hóa -20 ruby
[12:14:05 AM]  Mua Bột cường hóa -20 ruby
[12:14:05 AM]  Mua Bột cường hóa -20 ruby
[12:14:05 AM]  Mua Bột cường hóa -20 ruby
[12:14:05 AM]  Mua Bột cường hóa -20 ruby
[12:14:05 AM]  Mua Bột cường hóa -20 ruby
[12:14:05 AM]  Mua Bột cường hóa -20 ruby
[12:14:06 AM]  Mua Bột cường hóa -20 ruby
[12:14:10 AM]  Mua Bột vàng -40 ruby
[12:14:10 AM]  Mua Bột vàng -40 ruby
[12:14:54 AM]  Logout : [Beri] 1.999.846.095 [Ruby] 1.999.979.000
[07:30:38 AM]  Login : [Beri] 1.999.846.095 [Ruby] 1.999.979.000
[07:30:53 AM]  Logout : [Beri] 1.999.846.095 [Ruby] 1.999.979.000
[07:32:07 AM]  Login : [Beri] 1.999.846.095 [Ruby] 1.999.979.000
[07:33:16 AM]  Logout : [Beri] 1.999.846.095 [Ruby] 1.999.979.000
[07:35:16 AM]  Login : [Beri] 1.999.846.095 [Ruby] 1.999.979.000
[07:38:57 AM]  Mua Bột cường hóa -20 ruby
[07:38:57 AM]  Mua Bột cường hóa -20 ruby
[07:38:57 AM]  Mua Bột cường hóa -20 ruby
[07:38:57 AM]  Mua Bột cường hóa -20 ruby
[07:38:58 AM]  Mua Bột cường hóa -20 ruby
[07:38:58 AM]  Mua Bột cường hóa -20 ruby
[07:38:58 AM]  Mua Bột cường hóa -20 ruby
[07:38:58 AM]  Mua Bột cường hóa -20 ruby
[07:38:58 AM]  Mua Bột cường hóa -20 ruby
[07:38:59 AM]  Mua Bột cường hóa -20 ruby
[07:39:01 AM]  Mua Bột vàng -40 ruby
[07:39:02 AM]  Mua Bột vàng -40 ruby
[07:39:02 AM]  Mua Bột vàng -40 ruby
[07:39:02 AM]  Mua Bột vàng -40 ruby
[07:39:02 AM]  Mua Bột vàng -40 ruby
[07:39:02 AM]  Mua Bột vàng -40 ruby
[07:39:03 AM]  Mua Bột vàng -40 ruby
[07:39:03 AM]  Mua Bột vàng -40 ruby
[07:39:03 AM]  Mua Bột vàng -40 ruby
[07:39:03 AM]  Mua Bột vàng -40 ruby
[07:39:03 AM]  Mua Bột vàng -40 ruby
[07:39:04 AM]  Mua Bột vàng -40 ruby
[07:39:04 AM]  Mua Bột vàng -40 ruby
[07:39:04 AM]  Mua Bột vàng -40 ruby
[07:41:13 AM]  Cường hóa item Nón 1 Lv60 -3000 beri
[07:41:14 AM]  Cường hóa item Nón 1 Lv60 -3000 beri
[07:41:16 AM]  Cường hóa item Nón 1 Lv60 -4000 beri
[07:41:17 AM]  Cường hóa item Nón 1 Lv60 -4000 beri
[07:41:22 AM]  Cường hóa item Nón 1 Lv60 -4000 beri
[07:41:25 AM]  Cường hóa item Nón 1 Lv60 -6000 beri
[07:41:26 AM]  Cường hóa item Nón 1 Lv60 -6000 beri
[07:41:28 AM]  Cường hóa item Nón 1 Lv60 -6000 beri
[07:41:30 AM]  Cường hóa item Nón 1 Lv60 -8000 beri
[07:41:32 AM]  Cường hóa item Nón 1 Lv60 -10000 beri
[07:41:54 AM]  Mua Bột cường hóa -20 ruby
[07:41:54 AM]  Mua Bột cường hóa -20 ruby
[07:41:54 AM]  Mua Bột cường hóa -20 ruby
[07:41:54 AM]  Mua Bột cường hóa -20 ruby
[07:41:55 AM]  Mua Bột cường hóa -20 ruby
[07:41:55 AM]  Mua Bột cường hóa -20 ruby
[07:41:55 AM]  Mua Bột cường hóa -20 ruby
[07:41:55 AM]  Mua Bột cường hóa -20 ruby
[07:41:55 AM]  Mua Bột cường hóa -20 ruby
[07:41:56 AM]  Mua Bột cường hóa -20 ruby
[07:41:56 AM]  Mua Bột cường hóa -20 ruby
[07:41:56 AM]  Mua Bột cường hóa -20 ruby
[07:41:56 AM]  Mua Bột cường hóa -20 ruby
[07:41:56 AM]  Mua Bột cường hóa -20 ruby
[07:41:56 AM]  Mua Bột cường hóa -20 ruby
[07:41:57 AM]  Mua Bột cường hóa -20 ruby
[07:41:57 AM]  Mua Bột cường hóa -20 ruby
[07:41:57 AM]  Mua Bột cường hóa -20 ruby
[07:41:57 AM]  Mua Bột cường hóa -20 ruby
[07:41:57 AM]  Mua Bột cường hóa -20 ruby
[07:41:58 AM]  Mua Bột cường hóa -20 ruby
[07:41:58 AM]  Mua Bột cường hóa -20 ruby
[07:41:58 AM]  Mua Bột cường hóa -20 ruby
[07:41:58 AM]  Mua Bột cường hóa -20 ruby
[07:41:58 AM]  Mua Bột cường hóa -20 ruby
[07:41:59 AM]  Mua Bột cường hóa -20 ruby
[07:41:59 AM]  Mua Bột cường hóa -20 ruby
[07:41:59 AM]  Mua Bột cường hóa -20 ruby
[07:41:59 AM]  Mua Bột cường hóa -20 ruby
[07:41:59 AM]  Mua Bột cường hóa -20 ruby
[07:42:00 AM]  Mua Bột cường hóa -20 ruby
[07:42:00 AM]  Mua Bột cường hóa -20 ruby
[07:42:00 AM]  Mua Bột cường hóa -20 ruby
[07:42:00 AM]  Mua Bột cường hóa -20 ruby
[07:42:01 AM]  Mua Bột cường hóa -20 ruby
[07:42:01 AM]  Mua Bột cường hóa -20 ruby
[07:42:01 AM]  Mua Bột cường hóa -20 ruby
[07:42:01 AM]  Mua Bột cường hóa -20 ruby
[07:42:01 AM]  Mua Bột cường hóa -20 ruby
[07:42:02 AM]  Mua Bột cường hóa -20 ruby
[07:42:02 AM]  Mua Bột cường hóa -20 ruby
[07:42:02 AM]  Mua Bột cường hóa -20 ruby
[07:42:02 AM]  Mua Bột cường hóa -20 ruby
[07:42:02 AM]  Mua Bột cường hóa -20 ruby
[07:42:03 AM]  Mua Bột cường hóa -20 ruby
[07:42:03 AM]  Mua Bột cường hóa -20 ruby
[07:42:03 AM]  Mua Bột cường hóa -20 ruby
[07:42:03 AM]  Mua Bột cường hóa -20 ruby
[07:42:03 AM]  Mua Bột cường hóa -20 ruby
[07:42:04 AM]  Mua Bột cường hóa -20 ruby
[07:42:04 AM]  Mua Bột cường hóa -20 ruby
[07:42:07 AM]  Mua Bột vàng -40 ruby
[07:42:07 AM]  Mua Bột vàng -40 ruby
[07:42:07 AM]  Mua Bột vàng -40 ruby
[07:42:07 AM]  Mua Bột vàng -40 ruby
[07:42:07 AM]  Mua Bột vàng -40 ruby
[07:42:08 AM]  Mua Bột vàng -40 ruby
[07:42:08 AM]  Mua Bột vàng -40 ruby
[07:42:08 AM]  Mua Bột vàng -40 ruby
[07:42:08 AM]  Mua Bột vàng -40 ruby
[07:42:08 AM]  Mua Bột vàng -40 ruby
[07:42:09 AM]  Mua Bột vàng -40 ruby
[07:42:09 AM]  Mua Bột vàng -40 ruby
[07:42:09 AM]  Mua Bột vàng -40 ruby
[07:42:09 AM]  Mua Bột vàng -40 ruby
[07:42:09 AM]  Mua Bột vàng -40 ruby
[07:42:10 AM]  Mua Bột vàng -40 ruby
[07:42:10 AM]  Mua Bột vàng -40 ruby
[07:42:10 AM]  Mua Bột vàng -40 ruby
[07:42:11 AM]  Mua Bột vàng -40 ruby
[07:42:11 AM]  Mua Bột vàng -40 ruby
[07:42:11 AM]  Mua Bột vàng -40 ruby
[07:42:11 AM]  Mua Bột vàng -40 ruby
[08:04:06 AM]  Mua Râu đen -500 ruby
[08:05:14 AM]  Cường hóa item Nón 1 Lv70 2 -3000 beri
[08:05:16 AM]  Cường hóa item Nón 1 Lv70 2 -3000 beri
[08:05:17 AM]  Cường hóa item Nón 1 Lv70 2 -4000 beri
[08:05:19 AM]  Cường hóa item Nón 1 Lv70 2 -4000 beri
[08:05:20 AM]  Cường hóa item Nón 1 Lv70 2 -4000 beri
[08:05:22 AM]  Cường hóa item Nón 1 Lv70 2 -6000 beri
[08:05:23 AM]  Cường hóa item Nón 1 Lv70 2 -6000 beri
[08:05:25 AM]  Cường hóa item Nón 1 Lv70 2 -6000 beri
[08:05:26 AM]  Cường hóa item Nón 1 Lv70 2 -8000 beri
[08:05:28 AM]  Cường hóa item Nón 1 Lv70 2 -10000 beri
[08:08:45 AM]  Mua Đá ác quỷ -40 ruby
[08:08:45 AM]  Mua Đá ác quỷ -40 ruby
[08:08:46 AM]  Mua Đá ác quỷ -40 ruby
[08:08:46 AM]  Mua Đá ác quỷ -40 ruby
[08:08:46 AM]  Mua Đá ác quỷ -40 ruby
[08:08:46 AM]  Mua Đá ác quỷ -40 ruby
[08:08:46 AM]  Mua Đá ác quỷ -40 ruby
[08:08:47 AM]  Mua Đá ác quỷ -40 ruby
[08:08:47 AM]  Mua Đá ác quỷ -40 ruby
[08:08:47 AM]  Mua Đá ác quỷ -40 ruby
[08:08:47 AM]  Mua Đá ác quỷ -40 ruby
[08:08:47 AM]  Mua Đá ác quỷ -40 ruby
[08:08:47 AM]  Mua Đá ác quỷ -40 ruby
[08:08:48 AM]  Mua Đá ác quỷ -40 ruby
[08:08:48 AM]  Mua Đá ác quỷ -40 ruby
[08:08:48 AM]  Mua Đá ác quỷ -40 ruby
[08:08:48 AM]  Mua Đá ác quỷ -40 ruby
[08:08:48 AM]  Mua Đá ác quỷ -40 ruby
[08:08:49 AM]  Mua Đá ác quỷ -40 ruby
[08:08:49 AM]  Mua Đá ác quỷ -40 ruby
[08:08:49 AM]  Mua Đá ác quỷ -40 ruby
[08:08:49 AM]  Mua Đá ác quỷ -40 ruby
[08:08:49 AM]  Mua Đá ác quỷ -40 ruby
[08:08:49 AM]  Mua Đá ác quỷ -40 ruby
[08:08:50 AM]  Mua Đá ác quỷ -40 ruby
[08:08:50 AM]  Mua Đá ác quỷ -40 ruby
[08:08:50 AM]  Mua Đá ác quỷ -40 ruby
[08:08:50 AM]  Mua Đá ác quỷ -40 ruby
[08:08:50 AM]  Mua Đá ác quỷ -40 ruby
[08:08:51 AM]  Mua Đá ác quỷ -40 ruby
[08:08:51 AM]  Mua Đá ác quỷ -40 ruby
[08:08:51 AM]  Mua Đá ác quỷ -40 ruby
[08:08:51 AM]  Mua Đá ác quỷ -40 ruby
[08:11:26 AM]  Mua Đá ác quỷ -40 ruby
[08:11:27 AM]  Mua Đá ác quỷ -40 ruby
[08:11:27 AM]  Mua Đá ác quỷ -40 ruby
[08:11:27 AM]  Mua Đá ác quỷ -40 ruby
[08:11:27 AM]  Mua Đá ác quỷ -40 ruby
[08:11:27 AM]  Mua Đá ác quỷ -40 ruby
[08:11:27 AM]  Mua Đá ác quỷ -40 ruby
[08:11:28 AM]  Mua Đá ác quỷ -40 ruby
[08:11:28 AM]  Mua Đá ác quỷ -40 ruby
[08:11:28 AM]  Mua Đá ác quỷ -40 ruby
[08:11:28 AM]  Mua Đá ác quỷ -40 ruby
[08:11:28 AM]  Mua Đá ác quỷ -40 ruby
[08:11:29 AM]  Mua Đá ác quỷ -40 ruby
[08:11:29 AM]  Mua Đá ác quỷ -40 ruby
[08:11:29 AM]  Mua Đá ác quỷ -40 ruby
[08:11:29 AM]  Mua Đá ác quỷ -40 ruby
[08:11:29 AM]  Mua Đá ác quỷ -40 ruby
[08:11:30 AM]  Mua Đá ác quỷ -40 ruby
[08:11:30 AM]  Mua Đá ác quỷ -40 ruby
[08:11:30 AM]  Mua Đá ác quỷ -40 ruby
[08:11:30 AM]  Mua Đá ác quỷ -40 ruby
[08:11:30 AM]  Mua Đá ác quỷ -40 ruby
[08:11:30 AM]  Mua Đá ác quỷ -40 ruby
[08:11:31 AM]  Mua Đá ác quỷ -40 ruby
[08:11:31 AM]  Mua Đá ác quỷ -40 ruby
[08:11:31 AM]  Mua Đá ác quỷ -40 ruby
[08:11:31 AM]  Mua Đá ác quỷ -40 ruby
[08:11:31 AM]  Mua Đá ác quỷ -40 ruby
[08:11:32 AM]  Mua Đá ác quỷ -40 ruby
[08:11:32 AM]  Mua Đá ác quỷ -40 ruby
[08:11:32 AM]  Mua Đá ác quỷ -40 ruby
[08:11:32 AM]  Mua Đá ác quỷ -40 ruby
[08:11:32 AM]  Mua Đá ác quỷ -40 ruby
[08:11:32 AM]  Mua Đá ác quỷ -40 ruby
[08:13:59 AM]  Mua Đá ác quỷ -40 ruby
[08:14:00 AM]  Mua Đá ác quỷ -40 ruby
[08:14:00 AM]  Mua Đá ác quỷ -40 ruby
[08:14:00 AM]  Mua Đá ác quỷ -40 ruby
[08:14:00 AM]  Mua Đá ác quỷ -40 ruby
[08:14:00 AM]  Mua Đá ác quỷ -40 ruby
[08:14:00 AM]  Mua Đá ác quỷ -40 ruby
[08:14:01 AM]  Mua Đá ác quỷ -40 ruby
[08:14:01 AM]  Mua Đá ác quỷ -40 ruby
[08:14:01 AM]  Mua Đá ác quỷ -40 ruby
[08:14:01 AM]  Mua Đá ác quỷ -40 ruby
[08:14:02 AM]  Mua Đá ác quỷ -40 ruby
[08:14:02 AM]  Mua Đá ác quỷ -40 ruby
[08:14:02 AM]  Mua Đá ác quỷ -40 ruby
[08:14:02 AM]  Mua Đá ác quỷ -40 ruby
[08:14:02 AM]  Mua Đá ác quỷ -40 ruby
[08:14:03 AM]  Mua Đá ác quỷ -40 ruby
[08:14:03 AM]  Mua Đá ác quỷ -40 ruby
[08:14:03 AM]  Mua Đá ác quỷ -40 ruby
[08:14:03 AM]  Mua Đá ác quỷ -40 ruby
[08:14:03 AM]  Mua Đá ác quỷ -40 ruby
[08:14:03 AM]  Mua Đá ác quỷ -40 ruby
[08:14:04 AM]  Mua Đá ác quỷ -40 ruby
[08:14:04 AM]  Mua Đá ác quỷ -40 ruby
[08:14:04 AM]  Mua Đá ác quỷ -40 ruby
[08:14:04 AM]  Mua Đá ác quỷ -40 ruby
[08:14:04 AM]  Mua Đá ác quỷ -40 ruby
[08:14:05 AM]  Mua Đá ác quỷ -40 ruby
[08:14:05 AM]  Mua Đá ác quỷ -40 ruby
[08:14:05 AM]  Mua Đá ác quỷ -40 ruby
[08:14:05 AM]  Mua Đá ác quỷ -40 ruby
[08:14:05 AM]  Mua Đá ác quỷ -40 ruby
[08:14:06 AM]  Mua Đá ác quỷ -40 ruby
[08:14:06 AM]  Mua Đá ác quỷ -40 ruby
[08:14:06 AM]  Mua Đá ác quỷ -40 ruby
[08:14:06 AM]  Mua Đá ác quỷ -40 ruby
[08:14:06 AM]  Mua Đá ác quỷ -40 ruby
[08:14:07 AM]  Mua Đá ác quỷ -40 ruby
[08:14:07 AM]  Mua Đá ác quỷ -40 ruby
[08:14:07 AM]  Mua Đá ác quỷ -40 ruby
[08:14:07 AM]  Mua Đá ác quỷ -40 ruby
[08:14:07 AM]  Mua Đá ác quỷ -40 ruby
[08:14:08 AM]  Mua Đá ác quỷ -40 ruby
[08:14:08 AM]  Mua Đá ác quỷ -40 ruby
[08:14:08 AM]  Mua Đá ác quỷ -40 ruby
[08:14:08 AM]  Mua Đá ác quỷ -40 ruby
[08:14:09 AM]  Mua Đá ác quỷ -40 ruby
[08:14:09 AM]  Mua Đá ác quỷ -40 ruby
[08:14:09 AM]  Mua Đá ác quỷ -40 ruby
[08:14:09 AM]  Mua Đá ác quỷ -40 ruby
[08:14:09 AM]  Mua Đá ác quỷ -40 ruby
[08:14:10 AM]  Mua Đá ác quỷ -40 ruby
[08:14:10 AM]  Mua Đá ác quỷ -40 ruby
[08:14:10 AM]  Mua Đá ác quỷ -40 ruby
[08:14:10 AM]  Mua Đá ác quỷ -40 ruby
[08:14:10 AM]  Mua Đá ác quỷ -40 ruby
[08:14:11 AM]  Mua Đá ác quỷ -40 ruby
[08:14:11 AM]  Mua Đá ác quỷ -40 ruby
[08:14:11 AM]  Mua Đá ác quỷ -40 ruby
[08:14:11 AM]  Mua Đá ác quỷ -40 ruby
[08:14:12 AM]  Mua Đá ác quỷ -40 ruby
[08:14:12 AM]  Mua Đá ác quỷ -40 ruby
[08:14:12 AM]  Mua Đá ác quỷ -40 ruby
[08:14:12 AM]  Mua Đá ác quỷ -40 ruby
[08:14:12 AM]  Mua Đá ác quỷ -40 ruby
[08:14:13 AM]  Mua Đá ác quỷ -40 ruby
[08:14:13 AM]  Mua Đá ác quỷ -40 ruby
[08:14:14 AM]  Mua Đá ác quỷ -40 ruby
[08:14:14 AM]  Mua Đá ác quỷ -40 ruby
[08:14:14 AM]  Mua Đá ác quỷ -40 ruby
[08:14:14 AM]  Mua Đá ác quỷ -40 ruby
[08:14:14 AM]  Mua Đá ác quỷ -40 ruby
[08:14:15 AM]  Mua Đá ác quỷ -40 ruby
[08:14:15 AM]  Mua Đá ác quỷ -40 ruby
[08:14:15 AM]  Mua Đá ác quỷ -40 ruby
[08:14:15 AM]  Mua Đá ác quỷ -40 ruby
[08:14:15 AM]  Mua Đá ác quỷ -40 ruby
[08:14:16 AM]  Mua Đá ác quỷ -40 ruby
[08:14:18 AM]  Mua Đá ác quỷ -10 ruby
[08:14:19 AM]  Mua Đá ác quỷ -2 ruby
[08:14:20 AM]  Mua Đá ác quỷ -2 ruby
[08:22:20 AM]  Mua Găng tay sức mạnh 2 -500000 beri
[08:22:26 AM]  Mua Ngực trần sức mạnh 2 -500000 beri
[08:23:13 AM]  Mua Xà rông nâu 2 -500000 beri
[08:23:16 AM]  Mua Mũ chóp 2 -500000 beri
[08:24:29 AM]  Mua Búa siêu cấp -40 ruby
[08:24:29 AM]  Mua Búa siêu cấp -40 ruby
[08:24:29 AM]  Mua Búa siêu cấp -40 ruby
[08:24:29 AM]  Mua Búa siêu cấp -40 ruby
[08:24:30 AM]  Mua Búa siêu cấp -40 ruby
[08:24:30 AM]  Mua Búa siêu cấp -40 ruby
[08:24:30 AM]  Mua Búa siêu cấp -40 ruby
[08:24:30 AM]  Mua Búa siêu cấp -40 ruby
[08:24:31 AM]  Mua Búa siêu cấp -40 ruby
[08:24:31 AM]  Mua Búa siêu cấp -40 ruby
[08:24:32 AM]  Mua Búa siêu cấp -40 ruby
[08:24:32 AM]  Mua Búa siêu cấp -40 ruby
[08:24:32 AM]  Mua Búa siêu cấp -40 ruby
[08:24:32 AM]  Mua Búa siêu cấp -40 ruby
[08:24:32 AM]  Mua Búa siêu cấp -40 ruby
[08:24:33 AM]  Mua Búa siêu cấp -40 ruby
[08:24:33 AM]  Mua Búa siêu cấp -40 ruby
[08:24:33 AM]  Mua Búa siêu cấp -40 ruby
[08:24:33 AM]  Mua Búa siêu cấp -40 ruby
[08:24:33 AM]  Mua Búa siêu cấp -40 ruby
[08:24:33 AM]  Mua Búa siêu cấp -40 ruby
[08:24:34 AM]  Mua Búa siêu cấp -40 ruby
[08:24:34 AM]  Mua Búa siêu cấp -40 ruby
[08:24:34 AM]  Mua Búa siêu cấp -40 ruby
[08:24:34 AM]  Mua Búa siêu cấp -40 ruby
[08:24:34 AM]  Mua Búa siêu cấp -40 ruby
[08:24:35 AM]  Mua Búa siêu cấp -40 ruby
[08:24:35 AM]  Mua Búa siêu cấp -40 ruby
[08:24:35 AM]  Mua Búa siêu cấp -40 ruby
[08:24:35 AM]  Mua Búa siêu cấp -40 ruby
[08:24:35 AM]  Mua Búa siêu cấp -40 ruby
[08:24:36 AM]  Mua Búa siêu cấp -40 ruby
[08:24:36 AM]  Mua Búa siêu cấp -40 ruby
[08:24:36 AM]  Mua Búa siêu cấp -40 ruby
[08:24:36 AM]  Mua Búa siêu cấp -40 ruby
[08:24:36 AM]  Mua Búa siêu cấp -40 ruby
[08:24:37 AM]  Mua Búa siêu cấp -40 ruby
[08:24:37 AM]  Mua Búa siêu cấp -40 ruby
[08:24:37 AM]  Mua Búa siêu cấp -40 ruby
[08:24:37 AM]  Mua Búa siêu cấp -40 ruby
[08:24:37 AM]  Mua Búa siêu cấp -40 ruby
[08:24:52 AM]  Đục lỗ Nón 1 Lv70 2 -50 ruby
[08:24:56 AM]  Đục lỗ Nón 1 Lv70 2 -100 ruby
[08:24:59 AM]  Đục lỗ Nón 1 Lv70 2 -150 ruby
[08:25:01 AM]  Đục lỗ Nón 1 Lv70 2 -200 ruby
[08:25:03 AM]  Đục lỗ Nón 1 Lv70 2 -250 ruby
[08:25:06 AM]  Đục lỗ Nón 1 Lv70 2 -300 ruby
[08:25:10 AM]  Đục lỗ Nón 1 Lv70 2 -350 ruby
[08:25:52 AM]  Mua Topaz - Cẩm thạch siêu cấp -2 ruby
[08:25:56 AM]  Mua Topaz - Ruby siêu cấp -2 ruby
[08:25:58 AM]  Mua Topaz - Ngọc siêu cấp -2 ruby
[08:26:01 AM]  Mua Topaz - Saphia siêu cấp -2 ruby
[08:26:03 AM]  Mua Topaz - Thạch Anh siêu cấp -2 ruby
[08:27:19 AM]  Mua Topaz - Ruby siêu cấp -2 ruby
[08:27:19 AM]  Mua Topaz - Ruby siêu cấp -2 ruby
[08:28:02 AM]  Mua Thạch anh - Saphia siêu cấp -2 ruby
[08:28:06 AM]  Mua Saphia - Thạch anh siêu cấp -2 ruby
[08:28:13 AM]  Mua Ngọc - Ruby siêu cấp -2 ruby
[08:28:16 AM]  Mua Saphia - Ruby siêu cấp -2 ruby
[08:28:19 AM]  Mua Thạch anh - Ruby siêu cấp -2 ruby
[08:28:30 AM]  Mua Ruby - Cẩm thạch siêu cấp -2 ruby
[08:28:46 AM]  Khảm ngọc lên -> Nón 1 Lv70 2 -400 ruby
[08:29:00 AM]  Khảm ngọc lên -> Nón 1 Lv70 2 -400 ruby
[08:29:17 AM]  Mua Saphia - Topaz siêu cấp -2 ruby
[08:29:19 AM]  Mua Saphia - Ruby siêu cấp -2 ruby
[08:29:19 AM]  Mua Saphia - Ruby siêu cấp -2 ruby
[08:29:21 AM]  Mua Saphia - Ngọc siêu cấp -2 ruby
[08:29:25 AM]  Mua Saphia - Cẩm thạch siêu cấp -2 ruby
[08:29:27 AM]  Mua Saphia - Thạch anh siêu cấp -2 ruby
[08:29:44 AM]  Khảm ngọc lên -> Nón 1 Lv70 2 -400 ruby
[08:29:55 AM]  Khảm ngọc lên -> Nón 1 Lv70 2 -400 ruby
[08:30:03 AM]  Khảm ngọc lên -> Nón 1 Lv70 2 -400 ruby
[08:30:09 AM]  Khảm ngọc lên -> Nón 1 Lv70 2 -400 ruby
[08:30:13 AM]  Khảm ngọc lên -> Nón 1 Lv70 2 -400 ruby
[08:34:13 AM]  Logout : [Beri] 1.983.338.084 [Ruby] 1.999.964.123
[12:30:17 PM]  Login : [Beri] 1.983.338.084 [Ruby] 1.999.964.123
[12:39:30 PM]  Logout : [Beri] 1.986.606.136 [Ruby] 1.999.964.123
[05:16:47 PM]  Login : [Beri] 1.986.606.136 [Ruby] 1.999.964.123
[05:19:10 PM]  Cường hóa item Xà rông nâu 2 -3000 beri
[05:19:12 PM]  Cường hóa item Xà rông nâu 2 -3000 beri
[05:19:13 PM]  Cường hóa item Xà rông nâu 2 -4000 beri
[05:19:15 PM]  Cường hóa item Xà rông nâu 2 -4000 beri
[05:19:17 PM]  Cường hóa item Xà rông nâu 2 -4000 beri
[05:19:19 PM]  Cường hóa item Xà rông nâu 2 -6000 beri
[05:19:20 PM]  Cường hóa item Xà rông nâu 2 -6000 beri
[05:19:22 PM]  Cường hóa item Xà rông nâu 2 -6000 beri
[05:19:23 PM]  Cường hóa item Xà rông nâu 2 -8000 beri
[05:19:25 PM]  Cường hóa item Xà rông nâu 2 -10000 beri
[05:19:32 PM]  Cường hóa item Ngực trần sức mạnh 2 -3000 beri
[05:19:34 PM]  Cường hóa item Ngực trần sức mạnh 2 -3000 beri
[05:19:35 PM]  Cường hóa item Ngực trần sức mạnh 2 -4000 beri
[05:19:40 PM]  Cường hóa item Ngực trần sức mạnh 2 -4000 beri
[05:19:41 PM]  Cường hóa item Ngực trần sức mạnh 2 -4000 beri
[05:19:43 PM]  Cường hóa item Ngực trần sức mạnh 2 -6000 beri
[05:19:46 PM]  Cường hóa item Ngực trần sức mạnh 2 -6000 beri
